Country,Capital,Region,Subregion,Languages,Currencies
Afghanistan,Kabul,Asia,Southern Asia,"Pashto, Uzbek, Turkmen",Afghan afghani
Åland Islands,Mariehamn,Europe,Northern Europe,Swedish,Euro
Albania,Tirana,Europe,Southern Europe,Albanian,Albanian lek
Algeria,Algiers,Africa,Northern Africa,Arabic,Algerian dinar
American Samoa,Pago Pago,Oceania,Polynesia,"English, Samoan",United States Dollar
Andorra,Andorra la Vella,Europe,Southern Europe,Catalan,Euro
Angola,Luanda,Africa,Middle Africa,Portuguese,Angolan kwanza
Anguilla,The Valley,Americas,Caribbean,English,East Caribbean dollar
Antarctica,,Polar,Antarctica,"English, Russian",
Antigua and Barbuda,Saint John's,Americas,Caribbean,English,East Caribbean dollar
Argentina,Buenos Aires,Americas,South America,"Spanish, Guaraní",Argentine peso
Armenia,Yerevan,Asia,Western Asia,Armenian,Armenian dram
Aruba,Oranjestad,Americas,Caribbean,"Dutch, (Eastern) Punjabi",Aruban florin
Australia,Canberra,Oceania,Australia and New Zealand,English,Australian dollar
Austria,Vienna,Europe,Central Europe,German,Euro
Azerbaijan,Baku,Asia,Western Asia,Azerbaijani,Azerbaijani manat
Bahamas,Nassau,Americas,Caribbean,English,Bahamian dollar
Bahrain,Manama,Asia,Western Asia,Arabic,Bahraini dinar
Bangladesh,Dhaka,Asia,Southern Asia,Bengali,Bangladeshi taka
Barbados,Bridgetown,Americas,Caribbean,English,Barbadian dollar
Belarus,Minsk,Europe,Eastern Europe,"Belarusian, Russian","New Belarusian ruble, Old Belarusian ruble"
Belgium,Brussels,Europe,Western Europe,"Dutch, French, German",Euro
Belize,Belmopan,Americas,Central America,"English, Spanish",Belize dollar
Benin,Porto-Novo,Africa,Western Africa,French,West African CFA franc
Bermuda,Hamilton,Americas,Northern America,English,Bermudian dollar
Bhutan,Thimphu,Asia,Southern Asia,Dzongkha,"Bhutanese ngultrum, Indian rupee"
Bolivia (Plurinational State of),Sucre,Americas,South America,"Spanish, Aymara, Quechua",Bolivian boliviano
"Bonaire, Sint Eustatius and Saba",Kralendijk,Americas,Caribbean,Dutch,United States dollar
Bosnia and Herzegovina,Sarajevo,Europe,Southern Europe,"Bosnian, Croatian, Serbian",Bosnia and Herzegovina convertible mark
Botswana,Gaborone,Africa,Southern Africa,"English, Tswana",Botswana pula
Bouvet Island,,Antarctic Ocean,South Antarctic Ocean,"Norwegian, Norwegian Bokmål, Norwegian Nynorsk",Norwegian krone
Brazil,Brasília,Americas,South America,Portuguese,Brazilian real
British Indian Ocean Territory,Diego Garcia,Africa,Eastern Africa,English,United States dollar
United States Minor Outlying Islands,,Americas,Northern America,English,British pound
Virgin Islands (British),Road Town,Americas,Caribbean,English,United States dollar
Virgin Islands (U.S.),Charlotte Amalie,Americas,Caribbean,English,United States dollar
Brunei Darussalam,Bandar Seri Begawan,Asia,South-Eastern Asia,Malay,"Brunei dollar, Singapore dollar"
Bulgaria,Sofia,Europe,Eastern Europe,Bulgarian,Bulgarian lev
Burkina Faso,Ouagadougou,Africa,Western Africa,"French, Fula",West African CFA franc
Burundi,Gitega,Africa,Eastern Africa,"French, Kirundi",Burundian franc
Cambodia,Phnom Penh,Asia,South-Eastern Asia,Khmer,"Cambodian riel, United States dollar"
Cameroon,Yaoundé,Africa,Middle Africa,"English, French",Central African CFA franc
Canada,Ottawa,Americas,Northern America,"English, French",Canadian dollar
Cabo Verde,Praia,Africa,Western Africa,Portuguese,Cape Verdean escudo
Cayman Islands,George Town,Americas,Caribbean,English,Cayman Islands dollar
Central African Republic,Bangui,Africa,Middle Africa,"French, Sango",Central African CFA franc
Chad,N'Djamena,Africa,Middle Africa,"French, Arabic",Central African CFA franc
Chile,Santiago,Americas,South America,Spanish,Chilean peso
China,Beijing,Asia,Eastern Asia,Chinese,Chinese yuan
Christmas Island,Flying Fish Cove,Oceania,Australia and New Zealand,English,Australian dollar
Cocos (Keeling) Islands,West Island,Oceania,Australia and New Zealand,English,Australian dollar
Colombia,Bogotá,Americas,South America,Spanish,Colombian peso
Comoros,Moroni,Africa,Eastern Africa,"Arabic, French",Comorian franc
Congo,Brazzaville,Africa,Middle Africa,"French, Lingala",Central African CFA franc
Congo (Democratic Republic of the),Kinshasa,Africa,Middle Africa,"French, Lingala, Kongo, Swahili, Luba-Katanga",Congolese franc
Cook Islands,Avarua,Oceania,Polynesia,"English, Cook Islands Māori","New Zealand dollar, Cook Islands dollar"
Costa Rica,San José,Americas,Central America,Spanish,Costa Rican colón
Croatia,Zagreb,Europe,Southern Europe,Croatian,Euro
Cuba,Havana,Americas,Caribbean,Spanish,"Cuban convertible peso, Cuban peso"
Curaçao,Willemstad,Americas,Caribbean,"Dutch, (Eastern) Punjabi, English",Netherlands Antillean guilder
Cyprus,Nicosia,Europe,Southern Europe,"Greek (modern), Turkish, Armenian",Euro
Czech Republic,Prague,Europe,Central Europe,"Czech, Slovak",Czech koruna
Denmark,Copenhagen,Europe,Northern Europe,Danish,Danish krone
Djibouti,Djibouti,Africa,Eastern Africa,"French, Arabic",Djiboutian franc
Dominica,Roseau,Americas,Caribbean,English,East Caribbean dollar
Dominican Republic,Santo Domingo,Americas,Caribbean,Spanish,Dominican peso
Ecuador,Quito,Americas,South America,Spanish,United States dollar
Egypt,Cairo,Africa,Northern Africa,Arabic,Egyptian pound
El Salvador,San Salvador,Americas,Central America,Spanish,United States dollar
Equatorial Guinea,Malabo,Africa,Middle Africa,"Spanish, French, Portuguese, Fang",Central African CFA franc
Eritrea,Asmara,Africa,Eastern Africa,"Tigrinya, Arabic, English, Tigre, Kunama, Saho, Bilen, Nara, Afar",Eritrean nakfa
Estonia,Tallinn,Europe,Northern Europe,Estonian,Euro
Ethiopia,Addis Ababa,Africa,Eastern Africa,Amharic,Ethiopian birr
Falkland Islands (Malvinas),Stanley,Americas,South America,English,Falkland Islands pound
Faroe Islands,Tórshavn,Europe,Northern Europe,Faroese,"Danish krone, Faroese króna"
Fiji,Suva,Oceania,Melanesia,"English, Fijian, Fiji Hindi, Rotuman",Fijian dollar
Finland,Helsinki,Europe,Northern Europe,"Finnish, Swedish",Euro
France,Paris,Europe,Western Europe,French,Euro
French Guiana,Cayenne,Americas,South America,French,Euro
French Polynesia,Papeetē,Oceania,Polynesia,French,CFP franc
French Southern Territories,Port-aux-Français,Africa,Southern Africa,French,Euro
Gabon,Libreville,Africa,Middle Africa,French,Central African CFA franc
Gambia,Banjul,Africa,Western Africa,English,Gambian dalasi
Georgia,Tbilisi,Asia,Western Asia,Georgian,Georgian Lari
Germany,Berlin,Europe,Central Europe,German,Euro
Ghana,Accra,Africa,Western Africa,English,Ghanaian cedi
Gibraltar,Gibraltar,Europe,Southern Europe,English,Gibraltar pound
Greece,Athens,Europe,Southern Europe,Greek (modern),Euro
Greenland,Nuuk,Americas,Northern America,Kalaallisut,Danish krone
Grenada,St. George's,Americas,Caribbean,English,East Caribbean dollar
Guadeloupe,Basse-Terre,Americas,Caribbean,French,Euro
Guam,Hagåtña,Oceania,Micronesia,"English, Chamorro, Spanish",United States dollar
Guatemala,Guatemala City,Americas,Central America,Spanish,Guatemalan quetzal
Guernsey,St. Peter Port,Europe,Northern Europe,"English, French","British pound, Guernsey pound"
Guinea,Conakry,Africa,Western Africa,"French, Fula",Guinean franc
Guinea-Bissau,Bissau,Africa,Western Africa,Portuguese,West African CFA franc
Guyana,Georgetown,Americas,South America,English,Guyanese dollar
Haiti,Port-au-Prince,Americas,Caribbean,"French, Haitian",Haitian gourde
Heard Island and McDonald Islands,,Antarctic,Antarctic,English,Australian dollar
Vatican City,Vatican City,Europe,Southern Europe,"Latin, Italian, French, German",Euro
Honduras,Tegucigalpa,Americas,Central America,Spanish,Honduran lempira
Hungary,Budapest,Europe,Central Europe,Hungarian,Hungarian forint
Hong Kong,City of Victoria,Asia,Eastern Asia,"English, Chinese",Hong Kong dollar
Iceland,Reykjavík,Europe,Northern Europe,Icelandic,Icelandic króna
India,New Delhi,Asia,Southern Asia,"Hindi, English",Indian rupee
Indonesia,Jakarta,Asia,South-Eastern Asia,Indonesian,Indonesian rupiah
Ivory Coast,Yamoussoukro,Africa,Western Africa,French,West African CFA franc
Iran (Islamic Republic of),Tehran,Asia,Southern Asia,Persian (Farsi),Iranian rial
Iraq,Baghdad,Asia,Western Asia,"Arabic, Kurdish",Iraqi dinar
Ireland,Dublin,Europe,Northern Europe,"Irish, English",Euro
Isle of Man,Douglas,Europe,Northern Europe,"English, Manx","British pound, Manx pound"
Israel,Jerusalem,Asia,Western Asia,"Hebrew (modern), Arabic",Israeli new shekel
Italy,Rome,Europe,Southern Europe,Italian,Euro
Jamaica,Kingston,Americas,Caribbean,English,Jamaican dollar
Japan,Tokyo,Asia,Eastern Asia,Japanese,Japanese yen
Jersey,Saint Helier,Europe,Northern Europe,"English, French","British pound, Jersey pound"
Jordan,Amman,Asia,Western Asia,Arabic,Jordanian dinar
Kazakhstan,Nur-Sultan,Asia,Central Asia,"Kazakh, Russian",Kazakhstani tenge
Kenya,Nairobi,Africa,Eastern Africa,"English, Swahili",Kenyan shilling
Kiribati,South Tarawa,Oceania,Micronesia,English,"Australian dollar, Kiribati dollar"
Kuwait,Kuwait City,Asia,Western Asia,Arabic,Kuwaiti dinar
Kyrgyzstan,Bishkek,Asia,Central Asia,"Kyrgyz, Russian",Kyrgyzstani som
Lao People's Democratic Republic,Vientiane,Asia,South-Eastern Asia,Lao,Lao kip
Latvia,Riga,Europe,Northern Europe,Latvian,Euro
Lebanon,Beirut,Asia,Western Asia,"Arabic, French",Lebanese pound
Lesotho,Maseru,Africa,Southern Africa,"English, Southern Sotho","Lesotho loti, South African rand"
Liberia,Monrovia,Africa,Western Africa,English,Liberian dollar
Libya,Tripoli,Africa,Northern Africa,Arabic,Libyan dinar
Liechtenstein,Vaduz,Europe,Central Europe,German,Swiss franc
Lithuania,Vilnius,Europe,Northern Europe,Lithuanian,Euro
Luxembourg,Luxembourg,Europe,Western Europe,"French, German, Luxembourgish",Euro
Macao,,Asia,Eastern Asia,"Chinese, Portuguese",Macanese pataca
North Macedonia,Skopje,Europe,Southern Europe,Macedonian,Macedonian denar
Madagascar,Antananarivo,Africa,Eastern Africa,"French, Malagasy",Malagasy ariary
Malawi,Lilongwe,Africa,Eastern Africa,"English, Chichewa",Malawian kwacha
Malaysia,Kuala Lumpur,Asia,South-Eastern Asia,Malaysian,Malaysian ringgit
Maldives,Malé,Asia,Southern Asia,Divehi,Maldivian rufiyaa
Mali,Bamako,Africa,Western Africa,French,West African CFA franc
Malta,Valletta,Europe,Southern Europe,"Maltese, English",Euro
Marshall Islands,Majuro,Oceania,Micronesia,"English, Marshallese",United States dollar
Martinique,Fort-de-France,Americas,Caribbean,French,Euro
Mauritania,Nouakchott,Africa,Western Africa,Arabic,Mauritanian ouguiya
Mauritius,Port Louis,Africa,Eastern Africa,English,Mauritian rupee
Mayotte,Mamoudzou,Africa,Eastern Africa,French,Euro
Mexico,Mexico City,Americas,North America,Spanish,Mexican peso
Micronesia (Federated States of),Palikir,Oceania,Micronesia,English,United States dollar
Moldova (Republic of),Chișinău,Europe,Eastern Europe,Romanian,Moldovan leu
Monaco,Monaco,Europe,Western Europe,French,Euro
Mongolia,Ulan Bator,Asia,Eastern Asia,Mongolian,Mongolian tögrög
Montenegro,Podgorica,Europe,Southern Europe,"Serbian, Bosnian, Albanian, Croatian",Euro
Montserrat,Plymouth,Americas,Caribbean,English,East Caribbean dollar
Morocco,Rabat,Africa,Northern Africa,Arabic,Moroccan dirham
Mozambique,Maputo,Africa,Eastern Africa,Portuguese,Mozambican metical
Myanmar,Naypyidaw,Asia,South-Eastern Asia,Burmese,Burmese kyat
Namibia,Windhoek,Africa,Southern Africa,"English, Afrikaans","Namibian dollar, South African rand"
Nauru,Yaren,Oceania,Micronesia,"English, Nauruan",Australian dollar
Nepal,Kathmandu,Asia,Southern Asia,Nepali,Nepalese rupee
Netherlands,Amsterdam,Europe,Western Europe,Dutch,Euro
New Caledonia,Nouméa,Oceania,Melanesia,French,CFP franc
New Zealand,Wellington,Oceania,Australia and New Zealand,"English, Māori",New Zealand dollar
Nicaragua,Managua,Americas,Central America,Spanish,Nicaraguan córdoba
Niger,Niamey,Africa,Western Africa,French,West African CFA franc
Nigeria,Abuja,Africa,Western Africa,English,Nigerian naira
Niue,Alofi,Oceania,Polynesia,English,"New Zealand dollar, Niue dollar"
Norfolk Island,Kingston,Oceania,Australia and New Zealand,English,Australian dollar
Korea (Democratic People's Republic of),Pyongyang,Asia,Eastern Asia,Korean,North Korean won
Northern Mariana Islands,Saipan,Oceania,Micronesia,"English, Chamorro",United States dollar
Norway,Oslo,Europe,Northern Europe,"Norwegian, Norwegian Bokmål, Norwegian Nynorsk",Norwegian krone
Oman,Muscat,Asia,Western Asia,Arabic,Omani rial
Pakistan,Islamabad,Asia,Southern Asia,"Urdu, English",Pakistani rupee
Palau,Ngerulmud,Oceania,Micronesia,English,United States dollar
"Palestine, State of",Ramallah,Asia,Western Asia,Arabic,"Egyptian pound, Israeli new shekel, Jordanian dinar"
Panama,Panama City,Americas,Central America,Spanish,"Panamanian balboa, United States dollar"
Papua New Guinea,Port Moresby,Oceania,Melanesia,English,Papua New Guinean kina
Paraguay,Asunción,Americas,South America,"Spanish, Guaraní",Paraguayan guaraní
Peru,Lima,Americas,South America,Spanish,Peruvian sol
Philippines,Manila,Asia,South-Eastern Asia,English,Philippine peso
Pitcairn,Adamstown,Oceania,Polynesia,English,"New Zealand dollar, Pitcairn Islands dollar"
Poland,Warsaw,Europe,Central Europe,Polish,Polish złoty
Portugal,Lisbon,Europe,Southern Europe,Portuguese,Euro
Puerto Rico,San Juan,Americas,Caribbean,"Spanish, English",United States dollar
Qatar,Doha,Asia,Western Asia,Arabic,Qatari riyal
